transaction_id,user_id,transaction_date,items_in_cart,Category,Transaction_Amount,Bank_Name,Preferred_Payment_Method,Recommended_Payment_Method,Failed,Time_of_Day
T084,U123,2024-08-09 23:37:02,"{Dove Shampoo, Toothpaste, Laptop Stand}",Personal Care,8359.11,Kotak,Credit Card,Credit Card,0,Evening
T002,U123,2024-08-11 14:37:02,{Grocery Combo Pack},Grocery,18433.85,HDFC,UPI,EMI,0,Morning
T075,U123,2024-08-13 06:37:02,"{Milk, Hair Oil, Sneakers}",Apparel,1761.23,Axis,Credit Card,UPI,0,Evening
T026,U123,2024-08-14 00:37:02,"{Dove Shampoo, Denim Jeans}",Apparel,24254.82,ICICI,EMI,EMI,0,Afternoon
T072,U123,2024-08-14 11:37:02,{Detergent},Grocery,12682.59,Kotak,EMI,UPI,0,Night
T048,U123,2024-08-18 01:37:02,"{Grocery Combo Pack, Face Wash}",Grocery,19388.7,HDFC,Debit Card,EMI,0,Night
T100,U123,2024-08-18 05:37:02,{Milk},Grocery,22233.62,Axis,UPI,EMI,0,Afternoon
T021,U123,2024-08-20 00:37:02,"{Bluetooth Earphones, Toothpaste}",Electronics,3489.94,Kotak,Credit Card,Credit Card,0,Morning
T034,U123,2024-08-26 14:37:02,"{Sneakers, Toothpaste, Phone Case}",Apparel,3952.64,Axis,Debit Card,Credit Card,0,Morning
T037,U123,2024-08-27 01:37:02,{Detergent},Grocery,635.29,Kotak,Credit Card,UPI,0,Evening
T012,U123,2024-08-30 00:37:02,"{Bread, Grocery Combo Pack, T-Shirt}",Apparel,7657.54,SBI,Credit Card,Debit Card,0,Afternoon
T017,U123,2024-09-06 04:37:02,"{Denim Jeans, Phone Case}",Apparel,2093.76,Axis,UPI,Wallet,0,Morning
T091,U123,2024-09-07 17:37:02,"{Sneakers, Bread, Grocery Combo Pack, Detergent}",Grocery,8856.13,HDFC,Credit Card,UPI,0,Evening
T097,U123,2024-09-17 08:37:02,"{Detergent, Face Wash, Laptop Stand, Grocery Combo Pack}",Grocery,22560.24,Axis,UPI,EMI,0,Night
T078,U123,2024-09-21 08:37:02,"{Toothpaste, Phone Case}",Electronics,24648.44,SBI,Wallet,EMI,0,Evening
T024,U123,2024-09-24 20:37:02,{Milk},Grocery,8136.92,SBI,EMI,UPI,0,Night
T073,U123,2024-09-28 19:37:02,"{Bluetooth Earphones, Bread}",Grocery,7478.59,Kotak,UPI,UPI,0,Morning
T070,U123,2024-09-29 17:37:02,"{Dove Shampoo, Laptop Stand}",Electronics,9408.93,Kotak,Credit Card,Credit Card,1,Night
T020,U123,2024-10-06 10:37:02,"{Bread, Face Wash}",Personal Care,17263.71,SBI,EMI,EMI,0,Night
T003,U123,2024-10-09 00:37:02,{Denim Jeans},Apparel,4322.46,ICICI,EMI,Debit Card,0,Evening
T046,U123,2024-10-14 00:37:02,{Milk},Grocery,3430.06,Axis,Wallet,UPI,0,Evening
T039,U123,2024-10-25 18:37:02,{Milk},Grocery,19396.12,SBI,UPI,EMI,0,Morning
T016,U123,2024-11-01 09:37:02,"{Denim Jeans, Bluetooth Earphones}",Electronics,15384.85,Kotak,Debit Card,EMI,0,Afternoon
T090,U123,2024-11-02 14:37:02,{Laptop Stand},Electronics,23449.88,ICICI,Debit Card,EMI,0,Morning
T008,U123,2024-11-09 07:37:02,"{Laptop Stand, Toothpaste, Hair Oil}",Electronics,4954.71,HDFC,Debit Card,EMI,0,Afternoon
T027,U123,2024-11-09 07:37:02,"{Hair Oil, Bluetooth Earphones}",Electronics,23517.72,Kotak,UPI,EMI,0,Morning
T077,U123,2024-11-09 07:37:02,"{Phone Case, Sneakers}",Apparel,4049.92,HDFC,EMI,UPI,0,Evening
T023,U123,2024-11-09 14:37:02,"{Dove Shampoo, Denim Jeans, Laptop Stand, Bread}",Grocery,6840.11,ICICI,EMI,UPI,0,Night
T038,U123,2024-11-11 12:37:02,"{Bread, Toothpaste}",Grocery,17818.0,SBI,Debit Card,EMI,0,Night
T036,U123,2024-11-11 22:37:02,"{Hair Oil, Denim Jeans, Bread, Face Wash}",Personal Care,19420.0,Kotak,Wallet,EMI,0,Morning
T030,U123,2024-11-13 06:37:02,"{Laptop Stand, Dove Shampoo, Face Wash, Hair Oil}",Electronics,1608.07,SBI,UPI,Credit Card,0,Morning
T064,U123,2024-11-19 05:37:02,"{Denim Jeans, Bread, Hair Oil, Detergent}",Grocery,20541.36,Axis,Credit Card,EMI,0,Evening
T052,U123,2024-12-04 05:37:02,"{Denim Jeans, Laptop Stand, Dove Shampoo}",Electronics,8201.72,ICICI,Debit Card,EMI,0,Evening
T040,U123,2024-12-06 21:37:02,"{Laptop Stand, Bread, Sneakers}",Apparel,9282.41,Kotak,UPI,Debit Card,0,Morning
T061,U123,2024-12-08 03:37:02,{Laptop Stand},Electronics,20282.28,ICICI,EMI,EMI,0,Afternoon
T049,U123,2024-12-13 16:37:02,"{T-Shirt, Grocery Combo Pack, Denim Jeans}",Apparel,13306.95,Kotak,Credit Card,Debit Card,0,Evening
T074,U123,2024-12-14 10:37:02,"{Milk, Toothpaste, Bluetooth Earphones, Denim Jeans}",Electronics,15434.33,HDFC,EMI,EMI,0,Night
T098,U123,2024-12-15 06:37:02,"{Toothpaste, Milk, Bluetooth Earphones}",Personal Care,8806.23,Axis,EMI,UPI,0,Evening
T005,U123,2024-12-20 04:37:02,"{Phone Case, iPhone 14, Bread}",Electronics,15227.32,Kotak,UPI,EMI,0,Night
T018,U123,2024-12-22 02:37:02,"{iPhone 14, Dove Shampoo}",Electronics,24157.98,HDFC,EMI,EMI,0,Morning
T053,U123,2025-01-13 10:37:02,{Face Wash},Personal Care,22735.38,ICICI,EMI,EMI,0,Evening
T044,U123,2025-01-16 17:37:02,"{Bread, Toothpaste}",Personal Care,18375.35,ICICI,Wallet,EMI,0,Afternoon
T042,U123,2025-01-25 21:37:02,{Face Wash},Personal Care,8607.0,SBI,Credit Card,Wallet,0,Afternoon
T065,U123,2025-01-29 08:37:02,{T-Shirt},Apparel,670.33,ICICI,EMI,Debit Card,0,Afternoon
T095,U123,2025-01-29 19:37:02,{Detergent},Grocery,13476.44,SBI,Debit Card,UPI,0,Evening
T094,U123,2025-01-29 20:37:02,"{Bread, Face Wash, Detergent, T-Shirt}",Grocery,20521.94,Kotak,Debit Card,EMI,0,Night
T059,U123,2025-02-01 12:37:02,"{Hair Oil, Denim Jeans, Sneakers, Laptop Stand}",Electronics,20189.97,Axis,Wallet,EMI,0,Afternoon
T068,U123,2025-02-07 03:37:02,"{Phone Case, T-Shirt, Face Wash}",Apparel,23601.29,SBI,UPI,EMI,0,Night
T054,U123,2025-02-13 07:37:02,"{Milk, Dove Shampoo, Denim Jeans, Sneakers}",Personal Care,10554.38,SBI,Debit Card,Credit Card,0,Evening
T025,U123,2025-02-14 16:37:02,{Milk},Grocery,13894.4,HDFC,EMI,UPI,0,Evening
T086,U123,2025-02-15 08:37:02,"{Toothpaste, Laptop Stand, iPhone 14, Face Wash}",Personal Care,17100.33,HDFC,UPI,EMI,0,Night
T029,U123,2025-02-20 23:37:02,"{Detergent, iPhone 14, Laptop Stand, T-Shirt}",Grocery,2668.07,Axis,Wallet,UPI,0,Night
T087,U123,2025-02-25 19:37:02,{Laptop Stand},Electronics,13046.28,HDFC,Credit Card,EMI,0,Morning
T013,U123,2025-03-07 08:37:02,{Phone Case},Electronics,11673.71,ICICI,Credit Card,Credit Card,0,Night
T019,U123,2025-03-18 21:37:02,"{Milk, Sneakers}",Grocery,7963.04,SBI,Debit Card,UPI,0,Night
T009,U123,2025-03-20 16:37:02,"{Laptop Stand, Sneakers}",Apparel,7953.93,Kotak,Credit Card,Wallet,0,Evening
T083,U123,2025-03-21 15:37:02,"{Dove Shampoo, Detergent}",Grocery,2712.1,SBI,Debit Card,UPI,0,Evening
T079,U123,2025-03-30 17:37:02,"{Bluetooth Earphones, Dove Shampoo}",Personal Care,16967.32,Axis,Debit Card,EMI,0,Afternoon
T088,U123,2025-04-01 06:37:02,"{Phone Case, Denim Jeans}",Apparel,16306.73,Axis,EMI,EMI,0,Evening
T011,U123,2025-04-06 15:37:02,"{Dove Shampoo, Milk, Sneakers}",Grocery,15490.4,Axis,Credit Card,EMI,0,Evening
T031,U123,2025-04-15 08:37:02,"{iPhone 14, Denim Jeans}",Electronics,10022.59,HDFC,Debit Card,Credit Card,0,Morning
T089,U123,2025-04-17 06:37:02,"{Grocery Combo Pack, Detergent, iPhone 14}",Electronics,17427.97,HDFC,Credit Card,EMI,0,Afternoon
T014,U123,2025-04-20 19:37:02,"{T-Shirt, Grocery Combo Pack, Sneakers, Denim Jeans}",Apparel,5392.01,HDFC,Debit Card,Wallet,0,Evening
T056,U123,2025-04-27 19:37:02,"{T-Shirt, Milk, Grocery Combo Pack, Dove Shampoo}",Personal Care,7598.91,Axis,Credit Card,UPI,0,Afternoon
T076,U123,2025-05-01 10:37:02,"{Sneakers, T-Shirt, Bread, Grocery Combo Pack}",Grocery,22752.51,SBI,Credit Card,EMI,0,Morning
T066,U123,2025-05-04 10:37:02,{Detergent},Grocery,10726.57,Kotak,Debit Card,UPI,0,Morning
T051,U123,2025-05-05 03:37:02,{Bread},Grocery,1270.02,Kotak,Wallet,UPI,0,Night
T060,U123,2025-05-12 01:37:02,"{Milk, Dove Shampoo, Face Wash, Sneakers}",Grocery,22367.7,SBI,Credit Card,EMI,0,Evening
T001,U123,2025-05-12 20:37:02,{Bread},Grocery,9676.23,ICICI,Credit Card,UPI,1,Afternoon
T015,U123,2025-05-14 03:37:02,{Face Wash},Personal Care,15014.16,ICICI,EMI,EMI,0,Morning
T093,U123,2025-05-16 21:37:02,"{Hair Oil, Laptop Stand, Bluetooth Earphones}",Personal Care,6819.57,SBI,Debit Card,UPI,0,Evening
T028,U123,2025-05-19 10:37:02,{Bluetooth Earphones},Electronics,15148.55,ICICI,EMI,EMI,0,Night
T057,U123,2025-05-21 15:37:02,{Detergent},Grocery,23277.59,Axis,Credit Card,EMI,0,Afternoon
T033,U123,2025-05-22 11:37:02,"{Detergent, Face Wash, Dove Shampoo}",Personal Care,7382.9,ICICI,Wallet,Wallet,0,Night
T099,U123,2025-05-25 05:37:02,{Sneakers},Apparel,18285.91,SBI,Wallet,EMI,0,Evening
T081,U123,2025-05-25 11:37:02,"{Sneakers, Denim Jeans, Hair Oil}",Apparel,9510.69,Kotak,Wallet,UPI,0,Evening
T043,U123,2025-05-26 20:37:02,"{Phone Case, Denim Jeans, T-Shirt}",Apparel,8119.07,ICICI,Credit Card,UPI,0,Afternoon
T032,U123,2025-05-31 00:37:02,"{Bluetooth Earphones, Grocery Combo Pack, Dove Shampoo, Hair Oil}",Electronics,20804.07,Kotak,UPI,EMI,0,Night
T080,U123,2025-06-08 08:37:02,"{Sneakers, Phone Case, iPhone 14, Bluetooth Earphones}",Electronics,6322.12,Axis,Credit Card,Credit Card,0,Evening
T058,U123,2025-06-11 09:37:02,"{iPhone 14, Denim Jeans, Dove Shampoo, Bluetooth Earphones}",Electronics,16018.39,ICICI,EMI,EMI,0,Evening
T071,U123,2025-06-13 01:37:02,"{Laptop Stand, Grocery Combo Pack, Hair Oil}",Personal Care,24079.96,HDFC,Credit Card,EMI,0,Evening
T045,U123,2025-06-13 20:37:02,"{Hair Oil, iPhone 14, Sneakers, Dove Shampoo}",Electronics,22236.71,Axis,Wallet,EMI,0,Evening
T082,U123,2025-06-14 07:37:02,"{Face Wash, Detergent, Dove Shampoo}",Personal Care,16021.48,ICICI,Wallet,EMI,0,Morning
T062,U123,2025-06-15 23:37:02,{T-Shirt},Apparel,8291.09,Kotak,EMI,UPI,0,Night
T092,U123,2025-06-16 02:37:02,"{Bluetooth Earphones, Milk, Dove Shampoo, Face Wash}",Grocery,23154.99,Axis,UPI,EMI,0,Afternoon
